x,meanNoByzantine,upNoByzantine,lowNoByzantine
1501,10026417.49,13575220.365795605,6477614.614204396
1511,10822926.31,14428695.357229996,7217157.262770005
1521,10458081.16,14171468.438042233,6744693.8819577675
1531,9881903.66,13505516.561592052,6258290.758407949
1541,10189188.47,14197200.713911857,6181176.226088145
1551,9959231.32,14186915.849823419,5731546.790176581
1561,9802580.03,13857186.492395423,5747973.567604575
1571,11103350.88,15560640.232981903,6646061.527018098
1581,11513594.06,16000050.287300471,7027137.832699531
1591,11033299.75,15681720.424784372,6384879.075215628
1601,10402143.04,14730629.467951726,6073656.612048273
1611,11157235.6,15696730.955169592,6617740.244830407
1621,11794709.83,16571076.146038586,7018343.513961414
1631,13089946.88,18131632.605255645,8048261.154744357
1641,13512187.57,18828539.6356199,8195835.5043801
1651,14145947.13,19746438.202982344,8545456.057017658
1661,13745274.2,19532617.568027787,7957930.831972213
1671,13583049.54,19273473.94304832,7892625.136951679
1681,13420586.92,19040335.680141747,7800838.159858252
1691,13909550.65,20219185.297531974,7599916.002468027
1701,13987978.66,19979420.733940594,7996536.5860594055
1711,13455047.17,19349323.607320923,7560770.7326790765
1721,12161110.2,17542178.932414938,6780041.467585061
1731,11723134.78,16649374.624269208,6796894.935730791
1741,11509276.94,16505516.60025756,6513037.279742438
1751,11473672.9,17045321.805799715,5902023.9942002855
1761,10494368.08,15692654.507577442,5296081.652422559
1771,10762466.87,16256712.981471695,5268220.758528303
1781,11539914.13,16792982.33986237,6286845.920137631
1791,12008674.89,17303312.460550033,6714037.31944997
1801,11083749.48,16097567.422255643,6069931.537744358
1811,11689912.16,17087287.047723044,6292537.2722769575
1821,12216814.86,17430359.217064016,7003270.502935981
1831,13043889.48,18650081.562190056,7437697.397809944
1841,12339127.1,17549559.32073658,7128694.87926342
1851,12529271.52,17828875.989619244,7229667.050380754
1861,12997208.64,17846418.998386882,8147998.28161312
1871,12470513.04,17112502.78666787,7828523.293332132
1881,12712241.12,17596677.41175147,7827804.828248527
