x,meanNoByzantine,upNoByzantine,lowNoByzantine
1571,1991186.93,3575990.588067433,406383.271932567
1581,2097927.75,3727983.5995695107,467871.90043048956
1591,2081360.92,3977420.800676507,185301.03932349267
1601,1691134.93,3134027.4031386245,248242.45686137513
1611,1860554.32,3454040.4150043977,267068.2249956026
1621,1693518.57,3442018.7410067404,-54981.60100674024
1631,1694460.58,3701360.9753309567,-312439.8153309566
1641,1876824.1,4263655.949202625,-510007.7492026249
1651,2153438.45,4932540.998105636,-625664.0981056355
1661,1233057.36,2538289.9985080883,-72175.27850808832
1671,1406241.54,3155780.9861369655,-343297.9061369656
1681,1344434.5,2965669.1880273707,-276800.1880273705
1691,1623291.24,3951699.686114897,-705117.2061148968
1701,1491778.5,3130378.6157474588,-146821.61574745877
1711,1828939.73,3889356.6230036784,-231477.16300367867
1721,2047616.67,4605493.622407031,-510260.2824070314
1731,1539710.64,3293877.6995231863,-214456.41952318652
1741,1387366.76,2760406.170126482,14327.349873518338
1751,1462041.11,3110155.0380751006,-186072.81807510066
1761,1819879.2,3616716.824066364,23041.575933635468
1771,1524038.41,3556503.130594669,-508426.3105946693
1781,2128227.03,4590561.996513657,-334107.9365136572
1791,1865810.72,3851060.061014059,-119438.62101405929
1801,1603874.07,3646659.0327134943,-438910.89271349413
1811,1669971.85,3699691.85034902,-359748.1503490198
1821,1914652.53,4345716.08284442,-516411.0228444205
1831,2117924.92,4565150.269477533,-329300.4294775333
1841,2000997.56,4205868.560662279,-203873.44066227926
1851,1880218.26,4105870.082651387,-345433.5626513872
1861,2128536.28,4356131.442810472,-99058.88281047205
1871,1857644.85,3732065.971341933,-16776.27134193317
1881,2041378.04,3874470.40085074,208285.67914926028
1891,1951296.38,3703720.720774254,198872.0392257457
1901,2019101.51,3879408.3036204567,158794.71637954353
1911,1880803.26,3476776.7849823963,284829.7350176035
1921,1799039.9,3490792.5868455116,107287.21315448824
1931,1702424.33,3234374.0673794243,170474.59262057603
1941,1172210.35,2130206.164051757,214214.53594824276
1951,1076638.49,1894170.672502069,259106.30749793095
1961,1744053.65,3495053.5220902693,-6946.222090269672
1971,1840545.27,3568674.9471424157,112415.59285758436
1981,2308810.72,4234325.697151684,383295.7428483162
1991,2594689.33,4819278.492139511,370100.1678604898
2000,2600530.72,4685349.2161151,515712.22388490057
