x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanobsall,upobsall,lowobsall,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
810,10610842.88,14166395.990175169,7055289.769824833,6172572.86,8610009.17771511,3735136.5422848905,10973034.49,15137074.30536475,6808994.674635249,10225677.87,13510123.488562021,6941232.251437976,10029343.06,13521053.002609093,6537633.117390907,8065253.21,10397977.471319666,5732528.948680334,4747156.27,6929612.437516913,2564700.1024830863
820,10428036.14,13663592.01064463,7192480.2693553725,5509810.59,7653679.588234735,3365941.591765265,11543706.17,15994556.051387392,7092856.288612608,10646571.31,14019056.517421111,7274086.1025788905,9763349.11,13111830.490856841,6414867.729143158,8042415.78,10370684.420722421,5714147.139277579,4384022.36,6239538.256676171,2528506.46332383
830,10386375.95,13594674.267120317,7178077.632879681,4876288.52,6597926.921572473,3154650.1184275267,11353330.84,15638217.326153418,7068444.353846582,10436187.49,13890640.344533805,6981734.635466195,9527098.39,12724953.014385397,6329243.765614605,8843814.28,11415446.034830917,6272182.525169082,4209949.7,5937838.715888035,2482060.684111966
840,10418924.54,13709094.640610296,7128754.439389702,5392679.8,7286839.168983547,3498520.431016452,10743953.18,14417168.51137506,7070737.848624939,10308022.54,13737179.337202422,6878865.742797575,9273657.61,12487346.041506182,6059969.178493817,8620704.77,11241302.161287516,6000107.378712483,4596018.16,6393620.973918537,2798415.346081464
850,11643442.5,15600727.47188879,7686157.52811121,5361316.82,7141073.130486567,3581560.5095134336,10787835.46,14534452.601054594,7041218.318945407,11218657.12,15337597.034640465,7099717.205359534,10526058.32,14495512.902015856,6556603.737984145,9448118.94,12426070.680876054,6470167.199123946,4797920.43,6735188.35686139,2860652.503138609
860,11006836.69,14747213.038921215,7266460.341078784,5655846.94,7866852.012248458,3444841.867751542,11243995.17,15120603.83867729,7367386.501322709,10698633.69,14524084.169338495,6873183.210661504,10233673.84,13930396.436347798,6536951.243652202,9222469.46,12178606.507716622,6266332.41228338,4921392.06,6968633.912589803,2874150.207410196
870,10041351.41,13360417.636033118,6722285.183966883,5459943.96,7310489.603392245,3609398.316607754,10536641.83,14379443.819356747,6693839.840643253,10088532.24,13872180.770653758,6304883.709346243,9351524.62,12680695.581888467,6022353.65811153,9627720.48,12657428.23611228,6598012.723887721,4404975.08,5991568.308395938,2818381.851604062
880,10536671.02,14755674.570902843,6317667.469097157,5546038.7,7485573.817235956,3606503.5827640444,10889345.86,15355477.991606345,6423213.728393653,10448257.8,14803234.034247443,6093281.565752559,10062462.23,14385836.344848769,5739088.115151232,8917938.63,11721453.47863479,6114423.781365213,4653285.42,6420660.932434652,2885909.9075653483
890,10414653.79,14369174.167281566,6460133.412718432,5440107.52,7669554.872691977,3210660.1673080223,11146124.57,15949982.695601352,6342266.44439865,10983940.25,15228151.171315813,6739729.328684187,10762684.73,15249807.324547648,6275562.135452353,9204347.7,12246528.818521714,6162166.581478285,4309570.12,6043936.646150164,2575203.593849836
900,10980356.29,15261949.754657231,6698762.825342767,6204396.44,8815173.935298808,3593618.9447011924,11159357.34,15771252.639291279,6547462.04070872,11634628.67,16325713.996929916,6943543.343070084,10838180.89,15120414.107418485,6555947.672581515,9942461.7,13187903.139324684,6697020.260675315,5272647.95,7520017.078933212,3025278.8210667884
