x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
19,82642.1,195555.53272978525,-30271.332729785223,82642.1,195555.53272978525,-30271.332729785223,82642.1,195555.53272978525,-30271.332729785223,82642.1,195555.53272978525,-30271.332729785223,82642.1,195555.53272978525,-30271.332729785223,82642.1,195555.53272978525,-30271.332729785223
20,121544.26666666666,270668.1133179302,-27579.579984596872,121544.26666666666,270668.1133179302,-27579.579984596872,121544.26666666666,270668.1133179302,-27579.579984596872,121544.26666666666,270668.1133179302,-27579.579984596872,121544.26666666666,270668.1133179302,-27579.579984596872,121544.26666666666,270668.1133179302,-27579.579984596872
21,148795.63333333333,327399.25433193764,-29807.98766527095,148795.63333333333,327399.25433193764,-29807.98766527095,148795.63333333333,327399.25433193764,-29807.98766527095,148795.63333333333,327399.25433193764,-29807.98766527095,148795.63333333333,327399.25433193764,-29807.98766527095,148795.63333333333,327399.25433193764,-29807.98766527095
22,150378.43333333332,376209.4474339532,-75452.5807672865,150378.43333333332,376209.4474339532,-75452.5807672865,150378.43333333332,376209.4474339532,-75452.5807672865,150378.43333333332,376209.4474339532,-75452.5807672865,150378.43333333332,376209.4474339532,-75452.5807672865,150378.43333333332,376209.4474339532,-75452.5807672865
23,129857.16666666667,384377.21333333326,-124662.87999999993,129857.16666666667,384377.21333333326,-124662.87999999993,129857.16666666667,384377.21333333326,-124662.87999999993,129857.16666666667,384377.21333333326,-124662.87999999993,129857.16666666667,384377.21333333326,-124662.87999999993,129857.16666666667,384377.21333333326,-124662.87999999993
24,417699.9666666667,1155227.2886576257,-319827.3553242923,417699.9666666667,1155227.2886576257,-319827.3553242923,417699.9666666667,1155227.2886576257,-319827.3553242923,417699.9666666667,1155227.2886576257,-319827.3553242923,417699.9666666667,1155227.2886576257,-319827.3553242923,417699.9666666667,1155227.2886576257,-319827.3553242923
25,754371.7333333333,1721092.926854127,-212349.46018746065,754371.7333333333,1721092.926854127,-212349.46018746065,754371.7333333333,1721092.926854127,-212349.46018746065,754371.7333333333,1721092.926854127,-212349.46018746065,754371.7333333333,1721092.926854127,-212349.46018746065,754371.7333333333,1721092.926854127,-212349.46018746065
26,580859.6333333333,1384803.3921170076,-223084.12545034103,580859.6333333333,1384803.3921170076,-223084.12545034103,580859.6333333333,1384803.3921170076,-223084.12545034103,580859.6333333333,1384803.3921170076,-223084.12545034103,580859.6333333333,1384803.3921170076,-223084.12545034103,580859.6333333333,1384803.3921170076,-223084.12545034103
27,581766.9666666667,1337920.2446032343,-174386.311269901,581766.9666666667,1337920.2446032343,-174386.311269901,581766.9666666667,1337920.2446032343,-174386.311269901,581766.9666666667,1337920.2446032343,-174386.311269901,581766.9666666667,1337920.2446032343,-174386.311269901,581766.9666666667,1337920.2446032343,-174386.311269901
28,632172.0333333333,1460244.2006372656,-195900.13397059892,632172.0333333333,1460244.2006372656,-195900.13397059892,632172.0333333333,1460244.2006372656,-195900.13397059892,632172.0333333333,1460244.2006372656,-195900.13397059892,632172.0333333333,1460244.2006372656,-195900.13397059892,632172.0333333333,1460244.2006372656,-195900.13397059892
