x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanDirInterferenceLie,upDirInterferenceLie,lowDirInterferenceLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanUserDirLie,upUserDirLie,lowUserDirLie
1071,17033664.36,19901321.054993477,14166007.665006522,12676361.754,15110094.751343917,10242628.756656084,17033664.36,19901321.054993477,14166007.665006522,9550413.334,11670168.489667945,7430658.178332057
1081,16877540.01,19813349.953102294,13941730.06689771,12795769.646,15231681.2908906,10359858.001109399,16877540.01,19813349.953102294,13941730.06689771,9529887.52,11601200.591599284,7458574.448400715
1091,17033622.53,19993733.2124792,14073511.847520802,12617134.368,15016227.964670807,10218040.771329194,17033622.53,19993733.2124792,14073511.847520802,9689589.556,11728302.919723485,7650876.192276516
1101,16797002.618,19731780.375116166,13862224.860883836,12514134.844,14955382.419250311,10072887.26874969,16797002.618,19731780.375116166,13862224.860883836,9520371.06,11557158.427774677,7483583.692225324
1111,17040526.232,20078790.31823276,14002262.145767242,12581507.272,15084908.884167332,10078105.659832668,17040526.232,20078790.31823276,14002262.145767242,9735670.622,11824650.971785815,7646690.272214184
1121,16931494.692,19955250.857822783,13907738.52617722,12573754.678,15107247.88944228,10040261.466557719,16931494.692,19955250.857822783,13907738.52617722,9455518.1,11497475.695163984,7413560.504836015
1131,17113989.174,20195196.405599274,14032781.942400726,12662765.166,15163235.7244557,10162294.6075443,17113989.174,20195196.405599274,14032781.942400726,9584556.874,11637770.80923967,7531342.938760328
1141,17407262.0,20635151.521504484,14179372.478495518,13150812.392,15836170.505289746,10465454.278710255,17407262.0,20635151.521504484,14179372.478495518,9535307.92,11606495.216828294,7464120.623171706
1151,16695008.144,19833271.075393137,13556745.212606862,12882366.798,15586293.67325878,10178439.922741221,16695008.144,19833271.075393137,13556745.212606862,9449235.402,11466986.840241944,7431483.963758057
1161,16230817.77,19314422.353660237,13147213.18633976,12498918.3,15182113.731705038,9815722.868294964,16230817.77,19314422.353660237,13147213.18633976,9003060.3,10961822.6668906,7044297.933109401
1171,16238956.624,19342548.6360006,13135364.6119994,11981043.922,14608652.997722823,9353434.846277177,16238956.624,19342548.6360006,13135364.6119994,8650997.99,10528446.003142856,6773549.976857145
1181,16214914.902,19216889.75931923,13212940.044680769,11759581.934,14265759.862722944,9253404.005277056,16214914.902,19216889.75931923,13212940.044680769,8664484.674,10589525.387502562,6739443.960497438
1191,16329569.712,19204793.700097717,13454345.723902283,12178769.418,14604348.772704016,9753190.063295983,16329569.712,19204793.700097717,13454345.723902283,9087791.612,11002316.874435356,7173266.349564643
1201,16364263.802,19253970.09786542,13474557.506134579,11938925.158,14320627.2488058,9557223.0671942,16364263.802,19253970.09786542,13474557.506134579,9086912.284,10936624.295353806,7237200.272646194
1211,16361231.126,19242617.72780123,13479844.524198769,12254591.7,14638219.869275559,9870963.53072444,16361231.126,19242617.72780123,13479844.524198769,9302929.88,11168766.580993762,7437093.179006239
1221,16520136.734,19464340.54897973,13575932.91902027,12410596.112,14919476.874443004,9901715.349556996,16520136.734,19464340.54897973,13575932.91902027,9402952.172,11378338.109475838,7427566.234524162
1231,16176908.518,19041895.787196092,13311921.248803906,12021125.318,14449576.395680934,9592674.240319066,16176908.518,19041895.787196092,13311921.248803906,9171411.66,11048405.900970988,7294417.419029011
1241,15894491.478,18747611.461228974,13041371.494771026,11663450.208,14126272.396396782,9200628.019603219,15894491.478,18747611.461228974,13041371.494771026,9029584.142,10890535.024947206,7168633.259052796
1251,16272717.574,19156080.84917012,13389354.298829878,12030471.054,14507377.162203863,9553564.945796136,16272717.574,19156080.84917012,13389354.298829878,9298044.618,11239495.447824948,7356593.788175054
1261,16135744.122,18957458.30180079,13314029.942199208,12445201.868,14937725.304457625,9952678.431542376,16135744.122,18957458.30180079,13314029.942199208,9174623.918,11053132.083833346,7296115.752166654
1271,15950159.132,18701477.25463266,13198841.00936734,12451562.152,14966538.180405147,9936586.123594854,15950159.132,18701477.25463266,13198841.00936734,9056852.752,10885157.993197132,7228547.51080287
1281,15325000.292,17966579.63141427,12683420.952585733,12396179.732,14818404.55964878,9973954.904351221,15325000.292,17966579.63141427,12683420.952585733,9243820.114,11137493.158322401,7350147.0696776
1291,15734657.418,18443932.296495736,13025382.539504262,12136886.184,14475346.349824399,9798426.018175602,15734657.418,18443932.296495736,13025382.539504262,9512784.748,11481500.509952903,7544068.986047096
1301,16096869.83,18807485.06573974,13386254.59426026,12403329.308,14770786.264636239,10035872.351363761,16096869.83,18807485.06573974,13386254.59426026,9451235.668,11413104.90184901,7489366.43415099
1311,15935089.372,18576703.514005322,13293475.229994677,12204101.038,14476485.862368159,9931716.213631842,15935089.372,18576703.514005322,13293475.229994677,9605947.882,11534865.351109555,7677030.412890444
1321,16326355.724,19012212.524700977,13640498.92329902,12826003.062,15231925.408878358,10420080.715121644,16326355.724,19012212.524700977,13640498.92329902,10119040.98,12138856.339903956,8099225.620096045
1331,15995565.388,18608889.643423706,13382241.132576294,12519807.604,14897595.045566296,10142020.162433704,15995565.388,18608889.643423706,13382241.132576294,9743442.856,11694419.396050844,7792466.315949157
1341,15487395.9,17935136.25736445,13039655.542635553,12333785.062,14619020.819632113,10048549.304367889,15487395.9,17935136.25736445,13039655.542635553,9714856.212,11720902.277338862,7708810.146661137
1351,16309456.9,18964956.43972016,13653957.36027984,12477362.762,14895430.96279899,10059294.56120101,16309456.9,18964956.43972016,13653957.36027984,9764177.266,11812098.782320352,7716255.749679649
1361,15857032.882,18517221.395578537,13196844.368421461,11910139.756,14254351.55306313,9565927.958936868,15857032.882,18517221.395578537,13196844.368421461,9508624.038,11504272.798610142,7512975.27738986
1371,15996256.952,18587118.40172667,13405395.502273329,12282963.336,14663191.404351074,9902735.267648924,15996256.952,18587118.40172667,13405395.502273329,9458639.26,11406399.100242566,7510879.419757434
1381,15879569.228,18540370.65736725,13218767.79863275,12434081.494,14898444.884247847,9969718.103752155,15879569.228,18540370.65736725,13218767.79863275,9411620.766,11357032.609992905,7466208.922007097
1391,15601251.492,18277006.635758847,12925496.348241154,12353417.87,14798353.301250245,9908482.438749753,15601251.492,18277006.635758847,12925496.348241154,9245393.55,11143874.093895623,7346913.006104378
1401,15694264.728,18369864.84074708,13018664.61525292,12162708.54,14542344.342874952,9783072.737125047,15694264.728,18369864.84074708,13018664.61525292,9104890.762,11007800.735320233,7201980.788679767
