x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
57,4262118.06,6324224.386728728,2200011.733271271,4475469.83,6644975.909408683,2305963.7505913177,4267263.45,6331319.625723475,2203207.2742765257,4262118.06,6324224.386728728,2200011.733271271,3638459.01,5239600.77654536,2037317.2434546398,3618800.4,5410075.122518183,1827525.677481817
58,3903710.09,5875212.53467316,1932207.6453268398,4074992.71,6116361.8794692885,2033623.5405307119,3908703.99,5881869.015569661,1935538.9644303396,3903710.09,5875212.53467316,1932207.6453268398,3262158.57,4696711.159135064,1827605.980864936,3301142.13,5008856.448230815,1593427.8117691847
59,4176411.72,6165413.784879672,2187409.655120328,4392540.66,6459335.18932972,2325746.13067028,4180414.93,6170496.827791254,2190333.0322087463,4176411.72,6165413.784879672,2187409.655120328,3473137.76,4949019.122983778,1997256.3970162214,3547250.22,5268005.85077801,1826494.5892219911
60,4377910.4,6453427.599838667,2302393.2001613346,4700337.63,6911541.382792014,2489133.877207986,4382525.11,6459156.890644265,2305893.329355736,4377910.4,6453427.599838667,2302393.2001613346,3744463.71,5368282.381782808,2120645.0382171916,3791724.34,5638817.444024001,1944631.2359759982
61,4240430.42,6235424.824194048,2245436.015805952,4545882.65,6686755.342274595,2405009.957725406,4244249.28,6240171.851861548,2248326.7081384524,4240430.42,6235424.824194048,2245436.015805952,3489057.82,4914199.299946476,2063916.3400535234,3695929.75,5482047.546599381,1909811.9534006193
62,4317053.18,6312955.113014549,2321151.24698545,4635879.62,6796471.394589549,2475287.8454104513,4320368.41,6317260.889664902,2323475.930335098,4317053.18,6312955.113014549,2321151.24698545,3488577.56,4933065.318223307,2044089.801776693,3773495.19,5638893.709428871,1908096.6705711288
63,4451503.79,6559840.383407252,2343167.1965927486,4748469.22,6984699.1276136115,2512239.312386388,4455212.06,6564797.221528014,2345626.8984719845,4451503.79,6559840.383407252,2343167.1965927486,3563112.71,5115954.309799228,2010271.110200772,4104297.52,6173999.491453148,2034595.5485468511
64,4495224.5,6597260.869522814,2393188.130477186,4874812.28,7124111.121927577,2625513.4380724235,4500016.04,6603514.75627983,2396517.3237201697,4495224.5,6597260.869522814,2393188.130477186,3736328.97,5371870.89015874,2100787.0498412605,4137625.34,6224968.697966492,2050281.9820335074
65,4391775.88,6412159.963899744,2371391.796100256,4771131.23,6942880.524709718,2599381.935290283,4395586.26,6417220.851071846,2373951.6689281533,4391775.88,6412159.963899744,2371391.796100256,3617609.63,5205201.8343053935,2030017.4256946065,3998911.73,5998825.808587283,1998997.6514127168
66,4140431.39,6155414.244587315,2125448.535412685,4457868.7,6604913.781312329,2310823.6186876716,4138228.9,6154195.485639251,2122262.314360749,4140431.39,6155414.244587315,2125448.535412685,3329786.47,4817804.318711581,1841768.6212884197,3779431.94,5761605.794356377,1797258.085643623
67,4561407.15,6768428.568626816,2354385.7313731844,4901126.12,7282205.39708641,2520046.8429135904,4563510.9,6771319.4628411215,2355702.337158879,4561407.15,6768428.568626816,2354385.7313731844,3633644.23,5284583.167671172,1982705.2923288275,4085158.9,6250652.7195163965,1919665.0804836028
68,4860017.93,6962057.875295975,2757977.984704024,5110357.71,7349714.924473097,2871000.4955269033,4876638.07,6983156.749561694,2770119.390438306,4860017.93,6962057.875295975,2757977.984704024,3892804.57,5650575.326825899,2135033.8131741006,4051729.75,6052845.305919698,2050614.1940803018
69,5092475.39,7295279.181531629,2889671.598468371,5275186.68,7569305.4027004,2981067.9572995994,5104589.48,7310906.401970105,2898272.5580298956,5092475.39,7295279.181531629,2889671.598468371,4089130.23,5947682.23215066,2230578.22784934,4272925.29,6361589.741604509,2184260.8383954917
70,4995515.57,7171623.409330901,2819407.7306690994,5218781.48,7508674.892113632,2928888.06788637,4999611.78,7176285.416409836,2822938.1435901644,4995515.57,7171623.409330901,2819407.7306690994,3986245.78,5826871.179197268,2145620.380802732,4140638.1,6176492.356119582,2104783.8438804173
71,4642001.97,6616666.113214508,2667337.826785492,4749188.19,6816332.669991717,2682043.710008284,4655440.21,6633894.392048014,2676986.0279519856,4642001.97,6616666.113214508,2667337.826785492,3731288.15,5386869.922666656,2075706.377333344,3764731.92,5583144.5478777215,1946319.2921222788
72,5137176.4,7331529.692897825,2942823.107102176,5401569.01,7734902.480914164,3068235.5390858348,5141389.39,7337158.098188937,2945620.681811062,5137176.4,7331529.692897825,2942823.107102176,4163928.19,6126311.696157554,2201544.6838424457,4268191.76,6354865.717734356,2181517.802265643
73,4985241.43,7114296.427544225,2856186.4324557744,5099494.37,7340086.931337619,2858901.8086623815,4978736.29,7104701.258649455,2852771.3213505447,4985241.43,7114296.427544225,2856186.4324557744,3602837.01,5318515.300635677,1887158.7193643223,3756183.2,5613401.616226306,1898964.7837736944
74,5511185.93,7819858.0139003545,3202513.8460996444,5457718.55,7819604.414161676,3095832.685838324,5523736.0,7828047.738618521,3219424.2613814794,5511185.93,7819858.0139003545,3202513.8460996444,3813598.71,5620022.169806242,2007175.2501937584,4045496.9,5996626.040084161,2094367.759915839
75,4951976.52,7021007.938630519,2882945.1013694797,4965398.19,7074012.340122554,2856784.039877447,4946753.43,7012193.151738908,2881313.7082610913,4951976.52,7021007.938630519,2882945.1013694797,3557036.89,5191871.015631198,1922202.764368802,3796545.22,5614712.156555457,1978378.2834445431
76,5511251.3,7812610.530566224,3209892.0694337757,5543057.01,7890448.0755301,3195665.9444699,5536659.97,7840754.259730071,3232565.680269928,5511251.3,7812610.530566224,3209892.0694337757,3844552.99,5678909.345934796,2010196.634065204,4036581.0,5981343.819552902,2091818.1804470974
77,5412336.31,7737061.580057291,3087611.039942708,5589200.05,8072346.211974233,3106053.8880257667,5423377.88,7749215.173953984,3097540.586046016,5412336.31,7737061.580057291,3087611.039942708,3973239.25,5825430.61461483,2121047.8853851696,4325421.17,6355122.397669411,2295719.9423305886
78,5055824.98,7325289.452684433,2786360.5073155677,5409809.39,7856102.669413308,2963516.1105866916,5123907.72,7404024.3555843355,2843791.084415664,5055824.98,7325289.452684433,2786360.5073155677,3680363.12,5396137.966112129,1964588.2738878713,4054915.28,5980309.113845829,2129521.4461541707
